anio,mes_nro,mes,jurisdiccion,apellido_nombre,cargo,asignacion_mensual,sac,otros,observaciones
2020,7,Julio,Secretaría Legal y Técnica,"Ibarra, Vilma Lidia",Secretario,312647.00,59226.00,,
2020,7,Julio,Secretaría de Asuntos Estratégicos,"Beliz, Gustavo Osvaldo",Secretario,312647.00,59226.00,,
2020,8,Agosto,Presidencia de la Nación,"Fernandez, Alberto Angel",Presidente,354694.16,,,
2020,8,Agosto,Presidencia de la Nación,"Fernandez, Cristina Elisabet",Vice-presidente ,328419.59,,,
2020,8,Agosto,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,312657.00,58164.25,,
2020,8,Agosto,Del Interior,"De Pedro, Eduardo Enrique",Ministro,312646.12,58161.53,,
2020,8,Agosto,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,312646.14,58161.53,,
2020,8,Agosto,Defensa,"Rossi, Agustin Oscar",Ministro,312646.13,58161.53,,
2020,8,Agosto,Economía,"Guzman, Martin Maximiliano",Ministro,312656.57,58164.15,,
2020,8,Agosto,Desarrollo Productivo,"Kulfas, Matias Sebastian",Ministro,312646.13,56284.11,,
2020,8,Agosto,"Agricultura, Ganadería y Pesca","Basterra, Luis Eugenio",Ministro,312656.57,58164.14,,
2020,8,Agosto,Justicia y Derechos Humanos,"Losardo, Marcela",Ministro,312646.14,59267.05,,
2020,8,Agosto,Desarrollo Social,"Arroyo, Daniel Fernando",Ministro,312646.14,58161.54,,
2020,8,Agosto,"Trabajo, Empleo y Seguridad Social","Moroni, Claudio Omar",Ministro,312646.13,58161.54,,
2020,8,Agosto,Salud,"Gonzalez Garcia, Gines Mario",Ministro,312646.14,58161.54,,
2020,8,Agosto,Educación,"Trotta, Nicolas Alfredo",Ministro,312646.13,58161.53,,
2020,8,Agosto,Cultura,"Bauer, Tristan",Ministro,312645.61,58161.54,,
2020,8,Agosto,"Ciencia, Tecnología e Innovación","Salvarezza, Roberto Carlos",Ministro,312646.14,58161.54,,
2020,8,Agosto,Obras Públicas,"Katopodis, Gabriel Nicolas",Ministro,312646.12,58161.53,,
2020,8,Agosto,Desarrollo Territorial y Hábitat,"Bielsa, Maria Eugenia",Ministro,312646.12,58161.53,,
2020,8,Agosto,Seguridad,"Frederic, Sabina Andrea",Ministro,312646.13,56768.66,,
2020,8,Agosto,Transporte,"Meoni, Mario Andres",Ministro,312646.14,58161.54,,
2020,8,Agosto,"Mujeres, Géneros y Diversidad","Gomez Alcorta, Elizabeth Victoria",Ministro,312646.14,58161.54,,
2020,8,Agosto,Turismo y Deportes,"Lammens Nuñez, Matias Daniel",Ministro,312646.14,58161.53,,
2020,8,Agosto,Ambiente y Desarrollo Sostenible,"Cabandie, Juan",Ministro,312646.13,59226.38,,
2020,8,Agosto,Secretaría General,"Vitobello, Julio Fernando",Secretario,312646.43,59226.46,,
2020,8,Agosto,Secretaría Legal y Técnica,"Ibarra, Vilma Lidia",Secretario,312646.13,59226.38,,
2020,8,Agosto,Secretaría de Asuntos Estratégicos,"Beliz, Gustavo Osvaldo",Secretario,312646.43,59226.46,,
2020,9,Septiembre,Presidencia de la Nación,"Fernandez, Alberto Angel",Presidente,354694.16,,,
